10000,0.648065seconds,2.016035seconds
20000,0.650674seconds,1.960155seconds
30000,0.669468seconds,2.007335seconds
40000,0.655051seconds,1.993860seconds
50000,0.683139seconds,1.990780seconds
60000,0.713709seconds,2.028915seconds
70000,0.673684seconds,1.992705seconds
80000,0.721591seconds,2.002570seconds
90000,0.701714seconds,2.012550seconds
100000,0.732850seconds,2.041815seconds
110000,0.647909seconds,1.984985seconds
120000,0.700896seconds,2.002345seconds
130000,0.693617seconds,2.071950seconds
140000,0.631293seconds,2.073780seconds
150000,0.604418seconds,2.007420seconds
